,r,d,t,x,y,z
284,1.7999999999999998,1.9999999999999998,115,-0.8452365234813985,0,1.8126155740732999
285,1.7999999999999998,1.9999999999999998,120,-0.9999999999999994,0,1.7320508075688774
286,1.7999999999999998,2.1999999999999997,70,0.7524443153164713,0,2.067323765728998
287,1.7999999999999998,2.1999999999999997,75,0.5694018992255455,0,2.12503681783595
288,1.7999999999999998,2.1999999999999997,80,0.38202599086724687,0,2.166577056626857
289,1.7999999999999998,2.1999999999999997,85,0.19174263404484784,0,2.19162833580184
290,1.7999999999999998,2.1999999999999997,90,1.3471114790620883e-16,0,2.1999999999999997
291,1.7999999999999998,2.1999999999999997,95,-0.1917426340448481,0,2.19162833580184
292,1.7999999999999998,2.1999999999999997,100,-0.38202599086724665,0,2.166577056626857
293,1.7999999999999998,2.1999999999999997,105,-0.5694018992255458,0,2.12503681783595
294,1.7999999999999998,2.1999999999999997,110,-0.752444315316471,0,2.0673237657289985
295,1.7999999999999998,2.1999999999999997,115,-0.9297601758295384,0,1.9938771314806298
296,1.7999999999999998,2.1999999999999997,120,-1.0999999999999994,0,1.905255888325765
297,1.7999999999999998,2.3999999999999995,70,0.820848343981605,0,2.2552622898861796
298,1.7999999999999998,2.3999999999999995,75,0.6211657082460497,0,2.3182219830937636
299,1.7999999999999998,2.3999999999999995,80,0.4167556264006329,0,2.3635386072292985
300,1.7999999999999998,2.3999999999999995,85,0.20917378259437946,0,2.390867275420189
301,1.7999999999999998,2.3999999999999995,90,1.4695761589768236e-16,0,2.3999999999999995
302,1.7999999999999998,2.3999999999999995,95,-0.20917378259437971,0,2.390867275420189
303,1.7999999999999998,2.3999999999999995,100,-0.41675562640063263,0,2.3635386072292985
304,1.7999999999999998,2.3999999999999995,105,-0.6211657082460499,0,2.3182219830937636
305,1.7999999999999998,2.3999999999999995,110,-0.8208483439816048,0,2.2552622898861796
306,1.7999999999999998,2.3999999999999995,115,-1.0142838281776783,0,2.1751386888879596
307,1.7999999999999998,2.3999999999999995,120,-1.1999999999999993,0,2.0784609690826525
308,1.7999999999999998,2.5999999999999996,70,0.8892523726467388,0,2.443200814043361
309,1.7999999999999998,2.5999999999999996,75,0.6729295172665538,0,2.5114071483515774
310,1.7999999999999998,2.5999999999999996,80,0.451485261934019,0,2.5605001578317403
311,1.7999999999999998,2.5999999999999996,85,0.2266049311439111,0,2.590106215038538
312,1.7999999999999998,2.5999999999999996,90,1.5920408388915588e-16,0,2.5999999999999996
313,1.7999999999999998,2.5999999999999996,95,-0.2266049311439114,0,2.590106215038538
314,1.7999999999999998,2.5999999999999996,100,-0.4514852619340187,0,2.5605001578317403
315,1.7999999999999998,2.5999999999999996,105,-0.6729295172665541,0,2.5114071483515774
